101,01,4.0
101,02,5.0
101,06,9.0
101,03,2.0
102,01,4.0
102,02,5.0
102,03,7.0
103,04,5.0
103,01,9.0
104,08,6.0
104,07,7.6
104,01,4.5
105,04,9.9
105,09,9.9
105,02,9.9
105,10,9.9
105,08,9.9
106,06,8.0
106,01,4.0
107,04,6.0
107,09,3.0
107,01,7.0
108,01,10.0
108,09,9.0
109,08,6.0
109,01,7.0
109,09,8.0
110,04,5.0
110,09,8.0
110,10,7.0
110,01,8.0
111,06,3.0
111,09,2.0
112,04,1.0
112,01,7.0
112,10,8.0
112,08,4.0
112,09,7.0
113,02,9.0
113,08,5.0
114,05,7.0
114,10,9.0
114,07,7.0
114,08,8.6
115,06,5.0
115,09,7.0
116,04,3.0
116,07,7.0
117,08,8.0
117,07,6.0
117,09,5.0
118,05,6.0
118,10,5.0
118,04,6.0
119,09,4.0
119,10,6.0
120,04,7.0
120,09,8.0
120,05,9.0
120,10,9.0
